"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8102","Verify Registration - Success","","Sat Jan 11 20:13:52 EST 2025","passed","Sat Jan 11 20:14:00 EST 2025","","RegisterTest.spec.js","",""
"","1057","API Put Request @api","","Mon Jan 13 14:22:30 EST 2025","passed","Mon Jan 13 14:22:31 EST 2025","","api\APITest.spec.js","",""
"","3","API Put Request @api","","Sun Jan 12 12:10:42 EST 2025","skipped","Sun Jan 12 12:10:42 EST 2025","","api\sampleApiTest.spec.js","",""
"","8974","Verify Login - Success","","Sat Jan 11 22:44:51 EST 2025","passed","Sat Jan 11 22:45:00 EST 2025","","ui\LoginTest.spec.js","",""
"","3421","API Get Request @api","","Sun Jan 12 12:10:43 EST 2025","failed","Sun Jan 12 12:10:46 EST 2025","","api\sampleApiTest.spec.js","",""
"","17329","Verify Product added to cart","","Sat Jan 11 16:26:46 EST 2025","failed","Sat Jan 11 16:27:03 EST 2025","","AddProductToCartTest.spec.js","",""
"","60247","Verify Registration - Success","","Sat Jan 11 22:44:51 EST 2025","passed","Sat Jan 11 22:45:51 EST 2025","","ui\RegisterTest.spec.js","",""
"","1543","Login API Test @api","","Mon Jan 13 16:33:51 EST 2025","passed","Mon Jan 13 16:33:53 EST 2025","","api\LoginTest.spec.js","",""
"","11088","Verify Product added to cart","","Sat Jan 11 22:44:51 EST 2025","passed","Sat Jan 11 22:45:02 EST 2025","","ui\AddProductToCartTest.spec.js","",""
"","16992","Verify Login - Success","","Sat Jan 11 16:26:46 EST 2025","failed","Sat Jan 11 16:27:03 EST 2025","","LoginTest.spec.js","",""
